,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Leave Before You Love Me (with Jonas Brothers)___Marshmello,0.721,0.738,7.0,-4.77,1.0,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,audio_features,4qu63nuBpdn0qHUHuObEj1,spotify:track:4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/audio-analysis/4qu63nuBpdn0qHUHuObEj1,154983.0,4.0,Leave Before You Love Me,66JuK41D3LpkbX3HCTGcQk
Doctor Strange 2 - Dream (Multiverse of Madness Trailer Music)___Krutikov Music,0.513,0.669,7.0,-11.126,0.0,0.0365,0.109,4.08e-05,0.0778,0.0428,110.002,audio_features,620I1vNGmIDQdvUhDVeTFy,spotify:track:620I1vNGmIDQdvUhDVeTFy,https://api.spotify.com/v1/tracks/620I1vNGmIDQdvUhDVeTFy,https://api.spotify.com/v1/audio-analysis/620I1vNGmIDQdvUhDVeTFy,115565.0,4.0,Doctor Strange 2 - Dream (Multiverse of Madness Trailer Music),1kYAgb8E0S32O8oPlWoJ57
Pruned___Natalie Holt,0.198,0.338,1.0,-14.719,0.0,0.0323,0.238,0.832,0.0827,0.0373,140.816,audio_features,3su6P1ExjmvB8noNcq2sK3,spotify:track:3su6P1ExjmvB8noNcq2sK3,https://api.spotify.com/v1/tracks/3su6P1ExjmvB8noNcq2sK3,https://api.spotify.com/v1/audio-analysis/3su6P1ExjmvB8noNcq2sK3,164669.0,5.0,Loki: Vol. 2 (Episodes 4-6) [Original Soundtrack],0KRhT6YRtWbgIhMqyOGAfa
Main on End___Alan Silvestri,0.127,0.488,7.0,-8.768,1.0,0.038,0.608,0.694,0.071,0.0929,169.987,audio_features,5POrWnsqEV6HwTcRKLdXxk,spotify:track:5POrWnsqEV6HwTcRKLdXxk,https://api.spotify.com/v1/tracks/5POrWnsqEV6HwTcRKLdXxk,https://api.spotify.com/v1/audio-analysis/5POrWnsqEV6HwTcRKLdXxk,191053.0,3.0,Avengers: Endgame (Original Motion Picture Soundtrack),6r4Vfnoifx2CLiTKCaKji8
Paul's Dream___Hans Zimmer,0.184,0.222,7.0,-12.428,1.0,0.0391,0.00494,0.776,0.093,0.0356,114.592,audio_features,1Qr17u2S9kNDzTeWAJCY5N,spotify:track:1Qr17u2S9kNDzTeWAJCY5N,https://api.spotify.com/v1/tracks/1Qr17u2S9kNDzTeWAJCY5N,https://api.spotify.com/v1/audio-analysis/1Qr17u2S9kNDzTeWAJCY5N,423310.0,3.0,The Dune Sketchbook (Music from the Soundtrack),78uSUydG2FbcVDDFWGMQjT
Cornelia Street___Taylor Swift,0.824,0.624,0.0,-9.728,1.0,0.0827,0.781,0.000189,0.1,0.248,102.012,audio_features,12M5uqx0ZuwkpLp5rJim1a,spotify:track:12M5uqx0ZuwkpLp5rJim1a,https://api.spotify.com/v1/tracks/12M5uqx0ZuwkpLp5rJim1a,https://api.spotify.com/v1/audio-analysis/12M5uqx0ZuwkpLp5rJim1a,287267.0,4.0,Lover,1NAmidJlEaVgA3MpcPFYGq
His Dark Materials (Main Title Theme)___Baltic House Orchestra,0.111,0.366,0.0,-15.027,0.0,0.0341,0.101,0.789,0.147,0.128,87.132,audio_features,6oNNrhisDs9ieGm1MB0FyL,spotify:track:6oNNrhisDs9ieGm1MB0FyL,https://api.spotify.com/v1/tracks/6oNNrhisDs9ieGm1MB0FyL,https://api.spotify.com/v1/audio-analysis/6oNNrhisDs9ieGm1MB0FyL,95104.0,4.0,His Dark Materials (Main Title Theme),7uagEbMYZ9LrlpEd6Tknak
Bad Blood___Taylor Swift,0.652,0.802,7.0,-6.114,1.0,0.181,0.0871,6.45e-06,0.148,0.295,170.157,audio_features,0TvQLMecTE8utzoNmvXRbK,spotify:track:0TvQLMecTE8utzoNmvXRbK,https://api.spotify.com/v1/tracks/0TvQLMecTE8utzoNmvXRbK,https://api.spotify.com/v1/audio-analysis/0TvQLMecTE8utzoNmvXRbK,211933.0,4.0,1989,5fy0X0JmZRZnVa2UEicIOl
First Step___Hans Zimmer,0.163,0.084,9.0,-19.007,0.0,0.0329,0.433,0.95,0.102,0.0345,71.028,audio_features,1gLLVtr9kIjmyoRzENZ11w,spotify:track:1gLLVtr9kIjmyoRzENZ11w,https://api.spotify.com/v1/tracks/1gLLVtr9kIjmyoRzENZ11w,https://api.spotify.com/v1/audio-analysis/1gLLVtr9kIjmyoRzENZ11w,107767.0,4.0,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],3B61kSKTxlY36cYgzvf3cP
Can't Trust Me___Deep Jelly,0.353,0.539,0.0,-8.003,0.0,0.0283,0.326,0.00141,0.0964,0.176,104.966,audio_features,5zZt5BzzSrUXwytlRatvc2,spotify:track:5zZt5BzzSrUXwytlRatvc2,https://api.spotify.com/v1/tracks/5zZt5BzzSrUXwytlRatvc2,https://api.spotify.com/v1/audio-analysis/5zZt5BzzSrUXwytlRatvc2,260013.0,4.0,Lil' Golden Book,7pFdmoYOVYeIDOVyML4IuZ
"Agents of S.H.I.E.L.D. Overture - From ""Marvel's Agents of S.H.I.E.L.D.""/Score___Bear McCreary",0.456,0.491,1.0,-13.023,1.0,0.0613,0.777,0.792,0.115,0.188,96.164,audio_features,7g5H7rvDNnb6VAaLxjCgW5,spotify:track:7g5H7rvDNnb6VAaLxjCgW5,https://api.spotify.com/v1/tracks/7g5H7rvDNnb6VAaLxjCgW5,https://api.spotify.com/v1/audio-analysis/7g5H7rvDNnb6VAaLxjCgW5,171960.0,4.0,Marvel's Agents of S.H.I.E.L.D.,0QC50e0EZ0MAYLbbbeit0M
Sleeping Music (Deep Sleep)___Deep Sleep Music Collective,0.153,0.00197,1.0,-36.815,1.0,0.0524,0.968,0.913,0.121,0.039,134.697,audio_features,2hIzjuxyItTpPuZZIULExJ,spotify:track:2hIzjuxyItTpPuZZIULExJ,https://api.spotify.com/v1/tracks/2hIzjuxyItTpPuZZIULExJ,https://api.spotify.com/v1/audio-analysis/2hIzjuxyItTpPuZZIULExJ,118674.0,1.0,"Sleeping Music: Calm Music to Help You Sleep, Natural Sleep Aid and Relaxing Piano for Sleep Music",2hstKFT7GOo34ZyFbMTXWN
"Time - From ""Inception""___Hans Zimmer",0.0732,0.0435,7.0,-22.764,1.0,0.0453,0.934,0.965,0.149,0.0388,78.901,audio_features,6E4OPdEj4Z1T7kqAfChycb,spotify:track:6E4OPdEj4Z1T7kqAfChycb,https://api.spotify.com/v1/tracks/6E4OPdEj4Z1T7kqAfChycb,https://api.spotify.com/v1/audio-analysis/6E4OPdEj4Z1T7kqAfChycb,309382.0,5.0,"Time (From ""Inception"")",3FOzyya8KD4DCVd3BZDnCJ
Mera Wala Dance___Nakash Aziz,0.676,0.948,8.0,-2.628,1.0,0.0803,0.0553,0.000218,0.0325,0.632,108.731,audio_features,55wV0bZrwCnJTxgrv6VpVd,spotify:track:55wV0bZrwCnJTxgrv6VpVd,https://api.spotify.com/v1/tracks/55wV0bZrwCnJTxgrv6VpVd,https://api.spotify.com/v1/audio-analysis/55wV0bZrwCnJTxgrv6VpVd,199584.0,3.0,Simmba,3dynRTuVOrAr5O7srr2txN
Tillu Anna DJ Pedithe___Ram Miriyala,0.702,0.663,10.0,-5.444,0.0,0.21,0.149,2.01e-06,0.11,0.28,140.027,audio_features,4ZNIkO2j6K2c0Nm8zWXmdn,spotify:track:4ZNIkO2j6K2c0Nm8zWXmdn,https://api.spotify.com/v1/tracks/4ZNIkO2j6K2c0Nm8zWXmdn,https://api.spotify.com/v1/audio-analysis/4ZNIkO2j6K2c0Nm8zWXmdn,183500.0,4.0,DJ Tillu,3loo3ZQ43Rsu0FdtorNZE0
Stay Stay Stay (Taylor's Version)___Taylor Swift,0.693,0.681,0.0,-7.039,1.0,0.025,0.0848,0.0,0.0768,0.663,100.02,audio_features,7eQj6r5PIdYKEIZjucBMcq,spotify:track:7eQj6r5PIdYKEIZjucBMcq,https://api.spotify.com/v1/tracks/7eQj6r5PIdYKEIZjucBMcq,https://api.spotify.com/v1/audio-analysis/7eQj6r5PIdYKEIZjucBMcq,205787.0,4.0,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9
Spirit Portal___Jack Dalton,0.306,0.202,1.0,-16.569,1.0,0.0406,0.749,0.807,0.085,0.0625,119.272,audio_features,1UydPwR8Cd18R5OjF7jPZN,spotify:track:1UydPwR8Cd18R5OjF7jPZN,https://api.spotify.com/v1/tracks/1UydPwR8Cd18R5OjF7jPZN,https://api.spotify.com/v1/audio-analysis/1UydPwR8Cd18R5OjF7jPZN,106527.0,4.0,The Earth Empire (Music from The Legend of Korra: Book 4),0YN7WnFE0jSYgIpYt8VP6T
Try Everything___Shakira,0.705,0.609,1.0,-4.897,1.0,0.0307,0.0257,0.0,0.0846,0.476,115.474,audio_features,1N3dZ7TTWO6VcD4Y3hHYLZ,spotify:track:1N3dZ7TTWO6VcD4Y3hHYLZ,https://api.spotify.com/v1/tracks/1N3dZ7TTWO6VcD4Y3hHYLZ,https://api.spotify.com/v1/audio-analysis/1N3dZ7TTWO6VcD4Y3hHYLZ,196853.0,4.0,Zootopia (Original Motion Picture Soundtrack),3X6netsswLt0U97Doga56C
The Legendary Humans___Honey the Unicorn,0.81,0.574,4.0,-7.068,1.0,0.0491,0.127,0.000192,0.168,0.558,142.021,audio_features,4qBp2SIF0C7u3sGfzNhKRo,spotify:track:4qBp2SIF0C7u3sGfzNhKRo,https://api.spotify.com/v1/tracks/4qBp2SIF0C7u3sGfzNhKRo,https://api.spotify.com/v1/audio-analysis/4qBp2SIF0C7u3sGfzNhKRo,206289.0,4.0,The Legendary Humans,7nIrVkW5UcpfEoGe6piQiT
The Master of the Mystic End Credits___Michael Giacchino,0.345,0.599,10.0,-10.619,1.0,0.0361,0.03,0.136,0.0647,0.353,124.641,audio_features,2hbsiYZprSRLeZeX87Y89I,spotify:track:2hbsiYZprSRLeZeX87Y89I,https://api.spotify.com/v1/tracks/2hbsiYZprSRLeZeX87Y89I,https://api.spotify.com/v1/audio-analysis/2hbsiYZprSRLeZeX87Y89I,230760.0,4.0,Doctor Strange (Original Motion Picture Soundtrack),6wLxqu3cGnJoJZyiA3Pe10
